split,date_range,start_date,end_date,#,Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,updated_at
no_split,season,2026-3-18,2026-4-20,1,2026.0,LAD,816.0,9.8%,22.2%,0.4,0.289,0.363,0.494,0.857,0.205,0.335,133.0,37.6,0.377,138.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,2,2026.0,ATL,848.0,8.7%,19.8%,0.4,0.276,0.343,0.45,0.793,0.175,0.318,123.0,23.7,0.354,122.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,3,2026.0,HOU,904.0,11.5%,20.1%,0.6,0.255,0.348,0.429,0.778,0.174,0.298,127.0,21.1,0.347,122.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,4,2026.0,CHC,826.0,11.5%,21.4%,0.5,0.251,0.341,0.398,0.739,0.147,0.298,107.0,10.3,0.334,111.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,5,2026.0,NYY,830.0,13.1%,24.5%,0.5,0.218,0.323,0.41,0.733,0.192,0.256,104.0,7.5,0.329,110.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,6,2026.0,LAA,897.0,12.2%,24.9%,0.5,0.224,0.334,0.397,0.732,0.173,0.269,115.0,9.9,0.332,110.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,7,2026.0,WSN,874.0,8.5%,20.3%,0.4,0.258,0.333,0.409,0.741,0.151,0.304,112.0,10.2,0.333,109.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,8,2026.0,PIT,883.0,10.6%,22.9%,0.5,0.253,0.342,0.402,0.743,0.149,0.308,115.0,11.5,0.335,108.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,9,2026.0,MIN,845.0,11.6%,22.8%,0.5,0.23,0.332,0.381,0.713,0.151,0.274,103.0,4.6,0.325,105.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,10,2026.0,TBR,835.0,8.4%,18.6%,0.5,0.259,0.331,0.383,0.714,0.125,0.304,100.0,2.9,0.323,103.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,11,2026.0,TEX,838.0,9.5%,24.9%,0.4,0.24,0.316,0.393,0.709,0.153,0.298,98.0,-0.2,0.318,102.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,12,2026.0,DET,821.0,9.7%,21.9%,0.4,0.243,0.324,0.38,0.704,0.137,0.298,97.0,1.0,0.319,102.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,13,2026.0,STL,823.0,10.8%,21.1%,0.5,0.233,0.328,0.379,0.708,0.147,0.27,97.0,0.8,0.32,102.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,14,2026.0,MIA,828.0,8.7%,21.4%,0.4,0.255,0.329,0.391,0.72,0.135,0.313,101.0,4.2,0.325,102.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,15,2026.0,MIL,819.0,13.3%,21.7%,0.6,0.232,0.339,0.366,0.705,0.134,0.285,97.0,1.7,0.321,102.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,16,2026.0,SEA,868.0,11.5%,24.7%,0.5,0.216,0.32,0.347,0.667,0.131,0.271,94.0,-7.2,0.308,101.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,17,2026.0,CLE,843.0,10.2%,21.4%,0.5,0.226,0.312,0.382,0.694,0.156,0.264,96.0,-2.2,0.315,100.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,18,2026.0,BAL,828.0,10.6%,25.4%,0.4,0.23,0.318,0.373,0.691,0.143,0.292,94.0,-2.8,0.314,100.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,19,2026.0,TOR,798.0,7.9%,18.3%,0.4,0.252,0.315,0.383,0.698,0.13,0.292,90.0,-3.0,0.313,99.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,20,2026.0,SDP,817.0,9.5%,20.9%,0.5,0.232,0.31,0.369,0.679,0.137,0.279,88.0,-7.6,0.307,95.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,21,2026.0,ARI,795.0,6.4%,21.9%,0.3,0.244,0.295,0.399,0.694,0.156,0.294,87.0,-5.5,0.309,92.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,22,2026.0,CHW,827.0,10.3%,25.2%,0.4,0.21,0.304,0.356,0.66,0.146,0.259,85.0,-11.6,0.3,89.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,23,2026.0,ATH,835.0,10.2%,25.0%,0.4,0.228,0.31,0.362,0.672,0.134,0.289,88.0,-9.2,0.304,89.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,24,2026.0,PHI,788.0,8.5%,22.7%,0.4,0.222,0.302,0.367,0.669,0.145,0.265,84.0,-8.3,0.305,88.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,25,2026.0,SFG,809.0,5.3%,21.0%,0.3,0.251,0.293,0.365,0.658,0.114,0.306,80.0,-14.8,0.295,86.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,26,2026.0,BOS,787.0,8.8%,24.3%,0.4,0.228,0.31,0.341,0.651,0.113,0.294,80.0,-11.7,0.299,84.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,27,2026.0,COL,818.0,7.9%,26.4%,0.3,0.241,0.31,0.386,0.696,0.146,0.31,93.0,-2.4,0.314,83.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,28,2026.0,NYM,827.0,7.7%,21.5%,0.4,0.226,0.288,0.336,0.624,0.111,0.273,75.0,-22.0,0.284,80.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,29,2026.0,KCR,793.0,9.1%,23.7%,0.4,0.218,0.296,0.339,0.635,0.121,0.27,75.0,-17.9,0.289,79.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,30,2026.0,CIN,823.0,11.3%,24.9%,0.5,0.202,0.297,0.326,0.623,0.124,0.25,76.0,-19.8,0.288,74.0,2026-04-20
no_split,season,2026-3-18,2026-4-20,of,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,1,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,Page Size:,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,30,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,50,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,100,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,200,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,Infinity,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,1 - 30 of 30 results,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,of,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,1,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,Page Size:,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,30,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,50,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,100,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,200,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,Infinity,,,,,,,,,,,,,,,,,2026-04-20
no_split,season,2026-3-18,2026-4-20,1 - 30 of 30 results,,,,,,,,,,,,,,,,,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,1,2026.0,LAD,816.0,9.8%,22.2%,0.4,0.289,0.363,0.494,0.857,0.205,0.335,133.0,37.6,0.377,138.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,2,2026.0,ATL,848.0,8.7%,19.8%,0.4,0.276,0.343,0.45,0.793,0.175,0.318,123.0,23.7,0.354,122.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,3,2026.0,HOU,904.0,11.5%,20.1%,0.6,0.255,0.348,0.429,0.778,0.174,0.298,127.0,21.1,0.347,122.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,4,2026.0,CHC,826.0,11.5%,21.4%,0.5,0.251,0.341,0.398,0.739,0.147,0.298,107.0,10.3,0.334,111.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,5,2026.0,NYY,830.0,13.1%,24.5%,0.5,0.218,0.323,0.41,0.733,0.192,0.256,104.0,7.5,0.329,110.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,6,2026.0,LAA,897.0,12.2%,24.9%,0.5,0.224,0.334,0.397,0.732,0.173,0.269,115.0,9.9,0.332,110.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,7,2026.0,WSN,874.0,8.5%,20.3%,0.4,0.258,0.333,0.409,0.741,0.151,0.304,112.0,10.2,0.333,109.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,8,2026.0,PIT,883.0,10.6%,22.9%,0.5,0.253,0.342,0.402,0.743,0.149,0.308,115.0,11.5,0.335,108.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,9,2026.0,MIN,845.0,11.6%,22.8%,0.5,0.23,0.332,0.381,0.713,0.151,0.274,103.0,4.6,0.325,105.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,10,2026.0,TBR,835.0,8.4%,18.6%,0.5,0.259,0.331,0.383,0.714,0.125,0.304,100.0,2.9,0.323,103.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,11,2026.0,TEX,838.0,9.5%,24.9%,0.4,0.24,0.316,0.393,0.709,0.153,0.298,98.0,-0.2,0.318,102.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,12,2026.0,DET,821.0,9.7%,21.9%,0.4,0.243,0.324,0.38,0.704,0.137,0.298,97.0,1.0,0.319,102.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,13,2026.0,STL,823.0,10.8%,21.1%,0.5,0.233,0.328,0.379,0.708,0.147,0.27,97.0,0.8,0.32,102.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,14,2026.0,MIA,828.0,8.7%,21.4%,0.4,0.255,0.329,0.391,0.72,0.135,0.313,101.0,4.2,0.325,102.0,2026-04-20
no_split,last_30,2026-3-21,2026-4-20,15,2026.0,MIL,819.0,13.3%,21.7%,0.6,0.232,0.339,0.366,0.705,0.134,0.285,97.0,1.7,0.321,102.0,2026-04-20
