rank,team,szn_2026,last_3,last_1,home,away,szn_2025,scraped_date
1,Atlanta,5.74,6.67,5.00,5.31,6.14,4.47,2026-04-25
2,Chi Cubs,5.58,7.00,6.00,5.31,6.00,4.80,2026-04-25
3,Washington,5.48,4.00,4.00,5.38,5.57,4.24,2026-04-25
4,LA Dodgers,5.42,2.33,4.00,4.38,6.46,5.01,2026-04-25
5,Houston,5.22,3.67,4.00,5.36,5.08,4.23,2026-04-25
6,NY Yankees,5.15,6.67,12.00,5.77,4.54,5.19,2026-04-25
7,Minnesota,4.96,4.00,2.00,5.15,4.77,4.19,2026-04-25
7,Pittsburgh,4.96,5.00,6.00,5.54,4.38,3.60,2026-04-25
9,Milwaukee,4.96,2.00,0.00,5.08,4.83,4.87,2026-04-25
10,Tampa Bay,4.88,6.00,6.00,4.40,5.20,4.41,2026-04-25
11,LA Angels,4.78,4.00,3.00,3.42,5.87,4.15,2026-04-25
12,Miami,4.65,5.33,9.00,4.69,4.60,4.38,2026-04-25
12,Baltimore,4.65,7.67,10.00,5.23,4.08,4.18,2026-04-25
14,Arizona,4.64,5.67,1.00,4.62,4.67,4.88,2026-04-25
15,St. Louis,4.56,2.67,2.00,4.00,5.17,4.25,2026-04-25
16,Detroit,4.52,6.00,8.00,5.17,4.00,4.63,2026-04-25
17,San Diego,4.40,4.67,10.00,4.85,3.92,4.28,2026-04-25
18,Sacramento,4.38,5.67,8.00,5.10,3.94,4.52,2026-04-25
19,Chi Sox,4.19,5.33,5.00,3.60,4.56,3.99,2026-04-25
20,Cleveland,4.19,5.33,8.00,4.15,4.21,3.96,2026-04-25
21,Texas,4.15,3.67,1.00,2.80,5.00,4.22,2026-04-25
22,Colorado,4.15,6.67,4.00,4.77,3.57,3.69,2026-04-25
23,Cincinnati,4.08,7.33,9.00,3.92,4.23,4.42,2026-04-25
24,Toronto,4.04,4.33,6.00,4.31,3.75,5.02,2026-04-25
25,Seattle,3.85,3.33,3.00,4.65,2.50,4.68,2026-04-25
26,Boston,3.65,2.00,3.00,3.23,4.08,4.80,2026-04-25
27,Kansas City,3.62,6.00,6.00,4.57,2.50,4.02,2026-04-25
28,Philadelphia,3.54,4.00,3.00,3.73,3.27,4.78,2026-04-25
29,NY Mets,3.50,5.33,3.00,3.85,3.15,4.73,2026-04-25
30,SF Giants,3.27,2.33,4.00,2.71,3.92,4.35,2026-04-25
