rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Cam Schlittler,NYY,21.2,97.36666746061992,,93.6987951807229,,,96.97710666886296,89.03333282470703,84.5750020345052,,,,,
2,Braxton Ashcraft,PIT,22.2,96.6766357421875,,,90.84615384615384,,96.39648972896107,91.40634978763642,84.57326635983911,,,,,
3,José Soriano,LAA,27.0,98.1611083984375,,,92.72127711519282,,96.95042693309294,90.47407362196181,,85.98058252427184,,,,
4,Bryan Woo,SEA,25.0,95.42912275712568,,,,,94.98552583393298,84.2888895670573,,,,88.55333557128907,,
5,Jeffrey Springs,ATH,24.2,91.34567750530478,,88.90000295639038,,,,80.90254133838718,,,,79.2465736702697,,
6,Seth Lugo,KCR,24.1,91.74142892020089,,89.92666693793403,,,91.58108108108108,81.97536214192708,76.69242350260417,70.9900001525879,,85.80666910807291,,
7,Parker Messick,CLE,25.2,93.15826848548228,,90.32799926757812,,,92.3162186081345,86.8936170212766,79.02272727272727,,,84.9662644719503,,
8,Taj Bradley,MIN,21.2,96.67487243332788,,88.63902468797637,90.71395306254543,,,,81.41860536087391,,,,,
9,Nick Pivetta,SDP,16.0,94.15500030517578,,91.03448275862068,,,93.35000038146973,82.1567572516364,79.2714289451132,,,,,
10,Max Fried,NYY,33.1,94.58043637483016,,91.89596033577968,,,93.2323548560049,80.17999945746527,73.87777855282738,,,85.72461594801683,,
11,Cristopher Sánchez,PHI,22.1,,,,,,94.66428786057692,85.53714250837054,,,,86.13416748046875,,
12,Kevin Gausman,TOR,22.1,94.30058880974265,,,84.15652295225155,,,84.42272602428089,,,,,,
13,Dylan Cease,TOR,20.2,98.0,,,,,96.82257867628529,88.46478873239437,,82.98529322007123,,85.20833333333333,,
14,Reid Detmers,LAA,22.2,94.08383087340943,,,,,93.62941023882698,85.99615384615385,72.60277811686198,,,82.16999969482421,,
15,Keider Montero,DET,16.1,94.15000192742599,,,,,94.22631621779057,85.2360009765625,,80.20344596073545,,87.32051282051282,,
16,Tarik Skubal,DET,24.1,96.80137897359914,,,,,96.78181707208807,89.48653822678786,80.23636557839133,,,86.93258289808638,,
17,Shota Imanaga,CHC,22.0,92.13187408447266,,,83.58449536700581,,90.43157878674958,82.4037023473669,74.3111106024848,,,,,
18,Nolan McLean,NYM,23.2,96.44999864366319,,91.1488370673601,,,95.08333333333333,84.6864406779661,81.52439024390245,,,87.99459591427365,,
19,Landen Roupp,SFG,22.2,92.84285736083984,,88.49787156125332,,,93.37352797564338,,76.6116504854369,,,87.05999843052456,,
20,Shohei Ohtani,LAD,18.0,97.61794913528313,,93.13333129882812,88.08571602957589,,95.70666707356771,85.14426309554304,74.88085288189828,,,,,
21,Logan Gilbert,SEA,23.2,95.4605284573739,,91.1039213292739,80.42458856301229,,,86.22238842409048,80.49387655452806,,,84.79499893188476,,
22,Emerson Hancock,SEA,23.2,94.66418274836754,,86.14736697548314,,,94.61139379573774,77.88000122070312,,,,86.99285561697823,,
23,Trevor Rogers,BAL,23.2,92.65059407552083,,81.38666720920139,,,92.30487953744283,77.72381010509673,,,,86.59277049604668,,
24,Joe Ryan,MIN,21.1,92.67134531478436,,,87.14571533203124,,92.88139591660611,83.07142954024057,,78.1439008014958,,,,
25,Randy Vásquez,SDP,21.2,94.8,,89.86999969482422,,,94.62400024414063,84.72307880108173,84.09354819020918,,,88.08913255774456,,
26,Framber Valdez,DET,24.0,,,,,,94.05340853604403,87.17499923706055,78.65523856026786,,,89.38730100601438,,
