rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Cam Schlittler,NYY,27.2,120.2835802469136,118.05232323232323,103.06859813084112,,122.30666666666667,110.39542857142858,,,,114.43152817136587,114.10613076666188,122.76703694616532
2,Bryan Woo,SEA,32.0,109.11626373626373,108.0202631578947,,,117.20611111111113,,87.02666666666666,,,109.60272463768115,105.16771014492754,110.69942028985508
3,José Soriano,LAA,32.2,102.72904347826088,106.80384105960266,,112.95566666666667,94.31310344827585,,,98.84609375,,103.756427291972,106.51995859213251,114.20983785795704
4,Cristopher Sánchez,PHI,28.1,,112.76582159624412,,,104.356,,126.74292993630573,,,115.76089104345375,99.5501808827675,114.13351967298942
5,Tarik Skubal,DET,30.1,116.77333333333333,111.87951807228916,,,110.95299999999999,100.92750000000001,118.19175438596491,,,114.87830866880303,104.27192796565137,118.23688197440858
6,Taj Bradley,MIN,27.2,106.80443514644351,,111.02916666666665,105.8449090909091,,115.07178571428571,,,,108.33291172756526,92.03694895922443,98.59547802354474
7,Kevin Gausman,TOR,28.1,99.54211764705882,,,108.54819875776397,88.3509090909091,,,,,102.95223796033994,112.77988668555241,112.5658923512748
8,Braxton Ashcraft,PIT,22.2,90.76485981308412,98.18245614035087,,78.34,94.36190476190477,124.16356435643564,,,,102.1464766549145,99.81569672806353,101.21484529968039
9,Joe Ryan,MIN,27.1,116.86056074766357,113.80692307692308,,74.83227272727274,88.14254700854701,,,123.4548936170213,,107.83969641195793,109.82425583964645,115.57558788068657
10,Seth Lugo,KCR,24.1,91.68,81.3081081081081,82.01466666666667,,84.5490118577075,100.54363636363637,71.87599999999999,,,86.90940586885641,109.84168276778168,95.39787284144425
11,Parker Messick,CLE,25.2,96.75685039370077,99.10756756756757,90.34,,88.63063829787235,103.48681818181818,101.85132530120482,,,97.4683043393887,105.2808988377006,105.73951748024035
12,Nick Pivetta,SDP,16.0,106.62212500000001,88.01499999999999,73.42344827586207,,121.2264864864865,89.08326530612244,,,,101.78537102473497,104.28388692579506,106.6774558303887
13,Max Fried,NYY,33.1,98.36065217391305,109.2705882352941,97.6020202020202,,103.52017777777779,124.51079365079366,101.05076923076925,,,104.92231772101293,104.55054681751646,112.56233780873727
