rank,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Cam Schlittler,NYY,0.43243243,0.73796791,0.57212714,0.58333333,0.79710145,0.70940171,0.45721271,0.68571429,0.16545012,0.12408759,0.28953771
2,Cristopher Sánchez,PHI,0.36090226,0.66331658,0.49032258,0.54166667,0.81818182,0.70175439,0.42795699,0.67479675,0.14623656,0.15913978,0.30537634
3,José Soriano,LAA,0.36700337,0.55376344,0.4389234,0.53211009,0.89320388,0.70754717,0.38509317,0.575,0.12836439,0.19461698,0.32298137
4,Tarik Skubal,DET,0.3625498,0.65789474,0.48979592,0.58241758,0.808,0.71296296,0.430839,0.6440678,0.14027149,0.15837104,0.29864253
5,Taj Bradley,MIN,0.28268551,0.69724771,0.46307385,0.5625,0.85526316,0.75431034,0.43512974,0.58474576,0.11377246,0.16367265,0.27744511
6,Braxton Ashcraft,PIT,0.35678392,0.66901408,0.48680352,0.54929577,0.85263158,0.72289157,0.41642229,0.59340659,0.13489736,0.15835777,0.29325513
7,Joe Ryan,MIN,0.344,0.68686869,0.49553571,0.6627907,0.80882353,0.75225225,0.44196429,0.65420561,0.12276786,0.15178571,0.27455357
8,Bryan Woo,SEA,0.34031414,0.77922078,0.53623188,0.63076923,0.85,0.77297297,0.44637681,0.62886598,0.12173913,0.13913043,0.26086957
9,Jeffrey Springs,ATH,0.28780488,0.56707317,0.41192412,0.6779661,0.84946237,0.78289474,0.44444444,0.63736264,0.08943089,0.20596206,0.29539295
10,Seth Lugo,KCR,0.32338308,0.68711656,0.48626374,0.73846154,0.84821429,0.8079096,0.4478022,0.65217391,0.09340659,0.17032967,0.26373626
11,Parker Messick,CLE,0.375,0.68493151,0.5,0.66666667,0.89,0.79005525,0.40331492,0.65591398,0.1046832,0.15977961,0.26446281
12,Nick Pivetta,SDP,0.40697674,0.61261261,0.48763251,0.62857143,0.89705882,0.76086957,0.39222615,0.60606061,0.11660777,0.16254417,0.27915194
13,Max Fried,NYY,0.3099631,0.61538462,0.43776824,0.71428571,0.88333333,0.81372549,0.41845494,0.52755906,0.08154506,0.19313305,0.27467811
14,Kevin Gausman,TOR,0.40930233,0.75362319,0.54390935,0.56818182,0.80769231,0.69791667,0.39093484,0.63636364,0.16430595,0.14164306,0.30594901
15,Dylan Cease,TOR,0.33864542,0.68656716,0.45974026,0.48235294,0.72826087,0.61016949,0.34805195,0.52808989,0.17922078,0.14025974,0.31948052
16,Tyler Glasnow,LAD,0.29906542,0.62721893,0.44386423,0.484375,0.87735849,0.72941176,0.44125326,0.64210526,0.12010444,0.19321149,0.31331593
17,Reid Detmers,LAA,0.39823009,0.66463415,0.51025641,0.62222222,0.82568807,0.73366834,0.42051282,0.60638298,0.13554987,0.16112532,0.29667519
18,Keider Montero,DET,0.27027027,0.66086957,0.46902655,0.7,0.88157895,0.83018868,0.50884956,0.65079365,0.07964602,0.18584071,0.26548673
19,Logan Gilbert,SEA,0.31102362,0.67149758,0.47288503,0.53164557,0.85611511,0.73853211,0.44902386,0.69565217,0.12364425,0.17787419,0.30151844
20,Shota Imanaga,CHC,0.44247788,0.67586207,0.53369272,0.57,0.81632653,0.69191919,0.39083558,0.62195122,0.16397849,0.13172043,0.29569892
21,Nolan McLean,NYM,0.25837321,0.58282209,0.40053763,0.55555556,0.86315789,0.75167785,0.43817204,0.59550562,0.09946237,0.22580645,0.32526882
22,Landen Roupp,SFG,0.29017857,0.66906475,0.43526171,0.63076923,0.88172043,0.77848101,0.38292011,0.61111111,0.09641873,0.16528926,0.26170799
23,Shohei Ohtani,LAD,0.37790698,0.66981132,0.48920863,0.61538462,0.84507042,0.73529412,0.38129496,0.52173913,0.1294964,0.14748201,0.27697842
24,Emerson Hancock,SEA,0.33163265,0.76923077,0.53424658,0.63076923,0.88461538,0.8,0.4630137,0.75294118,0.10684932,0.13424658,0.24109589
25,Trevor Rogers,BAL,0.34199134,0.73469388,0.49470899,0.59493671,0.84259259,0.73796791,0.38888889,0.63265306,0.1292876,0.14511873,0.27440633
26,Randy Vásquez,SDP,0.33649289,0.7,0.48148148,0.52112676,0.87755102,0.72781065,0.3988604,0.62222222,0.13105413,0.15669516,0.28774929
27,Framber Valdez,DET,0.34975369,0.71034483,0.5,0.73239437,0.96116505,0.86781609,0.41666667,0.68269231,0.06609195,0.17528736,0.24137931
28,Michael Wacha,KCR,0.35813953,0.63815789,0.47411444,0.7012987,0.81443299,0.76436782,0.41416894,0.70408163,0.11171662,0.17711172,0.28882834
29,Bryce Elder,ATL,0.31052632,0.66423358,0.4587156,0.61016949,0.89010989,0.78,0.41896024,0.62637363,0.10091743,0.18042813,0.28134557
30,Casey Mize,DET,0.3248731,0.66883117,0.47578348,0.609375,0.82524272,0.74251497,0.43874644,0.63829787,0.12250712,0.16239316,0.28490028
31,Mick Abel,MIN,0.36942675,0.64705882,0.48913043,0.5862069,0.88311688,0.75555556,0.43115942,0.71232877,0.11956522,0.1884058,0.30797101
32,Will Warren,NYY,0.2804878,0.64088398,0.43325527,0.68115942,0.84482759,0.78378378,0.42388759,0.57142857,0.09367681,0.20140515,0.29508197
33,Davis Martin,CHW,0.2849162,0.68639053,0.47988506,0.60784314,0.90517241,0.81437126,0.48563218,0.60638298,0.08908046,0.17241379,0.26149425
34,Jesús Luzardo,PHI,0.37168142,0.58974359,0.46073298,0.47619048,0.84782609,0.67045455,0.40837696,0.56122449,0.15183246,0.18062827,0.33246073
35,Edward Cabrera,CHC,0.32627119,0.68461538,0.45355191,0.55844156,0.8988764,0.74096386,0.35519126,0.56043956,0.11748634,0.14480874,0.26229508
36,Rhett Lowder,CIN,0.29842932,0.60493827,0.43909348,0.63157895,0.8877551,0.79354839,0.45892351,0.56382979,0.09039548,0.1920904,0.28248588
37,Steven Matz,TBR,0.29347826,0.67307692,0.46764706,0.59259259,0.83809524,0.75471698,0.45882353,0.58823529,0.11470588,0.16470588,0.27941176
38,Yoshinobu Yamamoto,LAD,0.35526316,0.72903226,0.50652742,0.55555556,0.83185841,0.71649485,0.40469974,0.6,0.14360313,0.13577023,0.27937337
39,Michael Soroka,ARI,0.35748792,0.63125,0.47683924,0.63513514,0.89108911,0.78285714,0.4359673,0.52688172,0.10354223,0.1880109,0.29155313
40,Carmen Mlodzinski,PIT,0.27516779,0.59405941,0.404,0.73170732,0.9,0.83168317,0.404,0.625,0.068,0.2,0.268
41,Hunter Brown,HOU,0.23,0.625,0.40555556,0.60869565,0.8,0.73972603,0.44444444,0.55813953,0.10555556,0.20555556,0.31111111
42,Joe Boyle,TBR,0.31543624,0.64035088,0.45627376,0.61702128,0.84931507,0.75833333,0.43346008,0.57575758,0.11026616,0.16730038,0.27756654
43,Logan Webb,SFG,0.32312925,0.68108108,0.46137787,0.71578947,0.9047619,0.82352941,0.38622129,0.60606061,0.08141962,0.17745303,0.25887265
44,Aaron Nola,PHI,0.33333333,0.61437908,0.45378151,0.66176471,0.82978723,0.75925926,0.42857143,0.67741935,0.1092437,0.19887955,0.30812325
45,Kyle Bradish,BAL,0.31775701,0.65734266,0.45378151,0.57352941,0.91489362,0.77160494,0.40056022,0.5,0.10364146,0.15686275,0.2605042
46,Kris Bubic,KCR,0.30348259,0.68571429,0.46041056,0.45901639,0.875,0.7133758,0.41055718,0.56179775,0.13196481,0.15542522,0.28739003
47,Jacob deGrom,TEX,0.37234043,0.71333333,0.52366864,0.55714286,0.8411215,0.72881356,0.44378698,0.62820513,0.14201183,0.14497041,0.28698225
48,MacKenzie Gore,TEX,0.28037383,0.68571429,0.44067797,0.5,0.90625,0.75,0.39548023,0.56470588,0.11016949,0.16101695,0.27118644
49,Joey Cantillo,CLE,0.2712766,0.60645161,0.42274052,0.56862745,0.81914894,0.73103448,0.45189504,0.55555556,0.11370262,0.18950437,0.303207
50,Chase Burns,CIN,0.34299517,0.70072993,0.48546512,0.61971831,0.77083333,0.70658683,0.39825581,0.57954545,0.14244186,0.14244186,0.28488372
51,Paul Skenes,PIT,0.34825871,0.71710526,0.50708215,0.7,0.82568807,0.77653631,0.4305949,0.625,0.11331445,0.14730878,0.26062323
52,George Kirby,SEA,0.39705882,0.703125,0.5237069,0.71296296,0.91111111,0.82304527,0.4137931,0.64341085,0.09247312,0.15268817,0.24516129
53,David Peterson,NYM,0.37037037,0.6171875,0.47003155,0.62857143,0.87341772,0.75838926,0.40378549,0.68041237,0.11285266,0.169279,0.28213166
54,Brandon Woodruff,MIL,0.35260116,0.69333333,0.51083591,0.62295082,0.89423077,0.79393939,0.46439628,0.67021277,0.10526316,0.17337461,0.27863777
55,Sandy Alcantara,MIA,0.2892562,0.68055556,0.47379913,0.6,0.82312925,0.75115207,0.47161572,0.64285714,0.11790393,0.17248908,0.29039301
56,Bailey Ober,MIN,0.32820513,0.70072993,0.48192771,0.75,0.83333333,0.8,0.4126506,0.51764706,0.09638554,0.15963855,0.2560241
57,Luis Castillo,SEA,0.33333333,0.73652695,0.51630435,0.68656716,0.86178862,0.8,0.45380435,0.73863636,0.10326087,0.13043478,0.23369565
58,Ranger Suarez,BOS,0.30845771,0.66141732,0.44512195,0.75806452,0.9047619,0.84246575,0.38719512,0.61627907,0.06969697,0.16666667,0.23636364
59,Walker Buehler,SDP,0.33888889,0.58715596,0.43252595,0.6557377,0.859375,0.76,0.37716263,0.67123288,0.10380623,0.19723183,0.30103806
60,Max Meyer,MIA,0.34920635,0.68666667,0.49852507,0.45454545,0.91262136,0.73372781,0.44247788,0.63636364,0.13274336,0.15929204,0.2920354
61,Mitch Keller,PIT,0.30808081,0.65909091,0.44848485,0.67213115,0.94252874,0.83108108,0.4,0.64444444,0.07575758,0.17575758,0.25151515
