rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Cam Schlittler,NYY,27.2,132.30577993186114,24.452463601943474,541.0733929716513,0.0,150.0735427200323,27.736263038472202,74.89239685379502,56.58232227890413,94.5964029922909,93.24070284824414,46.74647528503347,21.324632928109704,45.309407959692194,112.41425341985611,114.52351680206631,78.50098853614088
2,Cristopher Sánchez,PHI,28.1,146.66154187956838,70.44024783253649,208.2070124653968,31.410254403310557,143.74145749648025,69.03775689064665,118.23010296777987,108.88888372847747,145.36030329273655,107.71713221151774,39.36975100136128,39.5829602410233,53.18760418860745,76.49959321427879,136.29331400755916,69.92074794667822
3,José Soriano,LAA,32.2,121.39280275879823,89.74220453637474,135.26834824291282,26.313300145187284,142.25721272567367,105.16666580061735,43.62890408616719,54.76772866041208,51.76917576692537,139.86105441222725,6.448605937711342,56.08472256271385,68.36412972354914,54.52930163862979,139.77713795668646,79.9655591882742
4,Tarik Skubal,DET,30.1,110.61829612235097,44.60559378901876,247.9919717786735,28.33740079272881,122.41168198212316,49.36114646385209,87.93671822772927,71.2682638957519,99.10099361097143,107.58542643866842,49.06089120487357,50.63734675076229,65.26625290370083,142.34272336078428,102.9128377412452,76.20712847405834
5,Taj Bradley,MIN,27.2,124.95545882453554,81.50821200647825,153.30412800863454,0.0,126.12112722227424,82.26857776334323,96.08835822751058,91.6094741658448,115.61782587946668,120.43590795054446,38.22837056912984,48.2746561608277,84.831016530173,115.9829599687588,83.37845656113274,109.84686948064247
6,Braxton Ashcraft,PIT,22.2,126.91864414714824,77.04402236345278,164.73521864783902,0.0,134.50701051448027,81.65042354540944,87.02554642394941,81.66666417077107,106.75943934230364,88.70146786661081,58.89535991517222,43.58423069605287,72.38186798328914,67.26906368989283,121.36988444338999,91.786872895325
7,Joe Ryan,MIN,27.1,104.15942719233892,49.50132819331727,210.417430570027,31.447602366225464,114.54211189761605,54.43565717460036,77.16186342512214,65.45411422781878,84.23584456932572,79.59572201525918,77.38913954207229,59.21035860064021,90.91131635496183,89.47256898454793,75.46941437559714,131.20879534701862
8,Bryan Woo,SEA,25.0,81.34355171845354,45.10120960715412,180.35779765721708,0.0,90.25041250979274,50.03965008189076,83.94532394601198,68.58136555442353,87.93468447170704,93.24070284824414,54.71355353526949,57.24673835622978,105.7263082152887,58.80826127499357,81.17068902751775,140.14084940292196
9,Jeffrey Springs,ATH,24.2,82.44279102879946,73.13709854535728,112.72362353576068,0.0,96.20098882208659,85.34234863210382,56.24449080987818,57.419769937721775,60.561718317815874,110.41662187494549,33.616512469207,59.334230400512155,93.37683825283098,74.56047389282828,110.53601097841299,101.24135428009113
10,Seth Lugo,KCR,24.1,87.75075387083255,55.604233928180676,157.81307295006494,0.0,99.9130923024004,63.31103616728186,88.82586603589641,73.52380253055179,96.0517322690954,110.72333464977253,34.01194708205433,52.4669957234019,80.46586656522211,130.48083009533445,101.30482478661136,83.71394499447537
11,Parker Messick,CLE,25.2,99.03841769488065,61.501650987743794,161.0337478889055,33.48965490800214,117.6651882269194,73.068651203105,64.15201435925852,58.0869852511882,69.37069552768001,127.8299958809395,25.208845303658407,61.66885014357874,74.330088586774,86.98721971560744,120.0649775248727,85.04273768712271
12,Nick Pivetta,SDP,16.0,159.82347333199957,93.55345310294605,170.83652304853072,0.0,164.85034295503195,96.49595529211217,84.97788650809179,86.77082824758801,117.22605104252948,76.9978018905463,117.78838936151466,29.819177325653957,74.93312748595604,44.045220191345855,76.72808782946974,154.99099162721188
13,Max Fried,NYY,33.1,70.15881603351261,54.12145359315454,129.6321670661248,25.787034624094474,79.27112995740295,61.150816415347556,68.91807459765182,60.38142197628481,67.13293115581936,91.21373113232818,71.13255430425075,72.19713717069605,98.56331510845135,89.79325902759972,108.44578609727505,96.01599425340984
14,Kevin Gausman,TOR,22.1,141.13713465476246,50.48642938334582,279.5545863686865,76.9762209177564,154.19488080705284,55.15734157857016,71.5838973943904,63.418849647057016,83.244834633216,103.60078094249347,57.60513561334747,52.63966946359665,53.57146132143746,92.1041152386071,108.29390125927658,95.04776559028343
15,Dylan Cease,TOR,20.2,157.4391372017056,130.93899966183972,120.23853174141843,0.0,157.38049428249937,130.89023203254814,78.17715110176847,93.7823751369331,110.36247015767273,108.78081998961815,41.5004747300167,46.34750008974349,64.38106647881133,121.37751608858471,122.85718606997537,65.26535677032015
16,Tyler Glasnow,LAD,25.0,123.59681937674634,59.87420998588547,206.42746533607155,71.19657584869985,138.387524580389,67.03929514384052,71.61057851805487,64.78888509153238,78.82441363204569,91.38200668349768,82.03665238500211,60.78984106366929,69.65087419467108,88.09044038269171,99.7465142013291,106.2795371765336
17,Reid Detmers,LAA,22.2,116.63230659846171,59.692781607076974,195.38761411362202,37.92211095391813,121.06996797915069,61.963992906537726,88.82586603589641,78.92996589156822,99.94083253987797,90.9665394460105,83.64221654707228,59.22235343509889,82.39473043559207,106.15389540539584,89.53998301503817,108.1051749914098
18,Keider Montero,DET,16.1,93.3790790452294,27.612986011192227,338.17087060728204,0.0,104.21773821887967,30.818069934883646,83.48660632882067,63.89568343714743,90.48351590566959,69.93052720611362,78.09692710291405,40.825865708635575,86.80709007598665,79.42311394838084,83.52346239630889,127.56410665824818
19,Logan Gilbert,SEA,29.0,112.19800605994821,38.88035438820856,288.57247625154736,88.92080858073132,121.79881733711943,42.20735679767509,112.91116712208238,87.39754518483099,121.86743808916758,99.90075311163059,102.19485910187507,73.04647538813957,75.22185382283965,123.61341784770548,78.99011669157207,110.77935570159607
20,Shota Imanaga,CHC,22.0,150.1372022209693,56.69906248663396,264.7966107252226,80.905199828068,171.38404565093347,64.7228966869354,66.21653494137021,59.60016485692914,79.92685298354284,107.36313227604445,62.96638053894071,53.55328600435087,60.711843386863364,137.88068973127008,50.04005725006494,138.62548315821826
21,Nolan McLean,NYM,23.2,126.05795418349919,84.32987548500027,149.48195766746437,37.60382628239227,142.62333041158183,95.41173155240553,53.11117906755736,58.661969968634544,62.06085055192737,94.49730230131647,59.45159119566959,60.02674804676205,70.70070933936954,101.64281607012549,110.66551122610512,86.86308302402179
22,Landen Roupp,SFG,22.2,112.81657257524284,77.04402236345278,146.43130544576397,0.0,120.89025140968907,82.5576506388071,78.68322824823312,74.86110882320682,92.54688240199695,92.39736226865557,61.493319149858415,55.400948096382336,76.24887660274034,120.54481340562464,117.11129187755354,69.9207479466782
23,Shohei Ohtani,LAD,18.0,106.54898222133305,83.1586249803965,128.12739228639805,0.0,118.26220266310385,92.30047911351453,47.97138754489052,55.70472924536515,55.94879708847997,118.79660873012577,12.65997721990773,54.123703345476095,88.35892879776881,60.06166380119113,115.09213185929677,102.65637103980674
24,Emerson Hancock,SEA,23.2,107.40786166858109,38.11369928345576,281.8090588394017,72.63953333279363,128.73955900201105,45.68325716897684,74.26829354668004,56.69617023005333,78.53286286152453,112.23417935436792,57.796008808202124,69.6099736074974,72.3454014024771,75.91611909095673,104.78398029802347,106.68998006778425
25,Trevor Rogers,BAL,23.2,85.92628933486488,57.17054892518365,150.29816469931777,36.319766666396816,89.32948965177431,59.434849784198676,111.92709859468266,94.4936170500889,113.96614265261715,108.67581930301817,73.09605736635298,70.10427044765788,96.63597672745566,80.86135925311616,104.84547325717253,104.20729833938512
26,Randy Vásquez,SDP,21.2,122.94113693987059,92.11417191203672,133.46603363166463,41.07494881031526,125.92734518064792,94.35160073006524,104.91097099764417,99.6752107579787,121.48881653498509,115.49670290511749,65.23664832990092,65.61140807884587,85.08259064203372,84.94435318841396,102.76083191857886,104.38168807063934
27,Framber Valdez,DET,24.0,55.07636314270291,65.77259734376642,83.73754890583801,0.0,54.71431258679756,65.34023605066122,106.09756220954291,96.28724330557651,100.29498148580242,91.78381695802413,88.58216096212395,73.63920147418138,100.89241442374639,100.61172423478982,135.97720340404138,61.4766778000053
28,Michael Wacha,KCR,27.0,86.61581895946442,66.8166068254135,129.6321670661248,63.67168800098065,102.72891318708335,79.2464673497008,61.98958690894643,57.979415323788,59.615441469100006,138.4041683821462,22.98955562263596,82.06972367695265,95.2568391093142,89.70557069054244,86.29670259600226,119.59134999210765
29,Bryce Elder,ATL,23.1,105.02685962739507,74.84276656096394,140.33000104507227,38.14102485461011,114.58004592665525,81.65042354540944,87.02554642394941,79.33333300683258,95.37034661087144,123.32698783139371,19.340757646479943,68.27291164958092,84.07312141399703,89.583498828638,109.23998951845071,94.57077450266002
30,Casey Mize,DET,22.2,112.14644865236703,69.6415785415898,161.0337478889055,75.84422190783626,116.41343068184264,72.29132521942223,98.69540670655155,88.79621162801425,105.81970504222376,116.5508786302357,65.65501802292015,75.61202775557656,90.24338261451727,94.1173196238476,82.6676894236722,121.29046205176851
31,Mick Abel,MIN,17.0,113.64172666548656,79.59036989497784,142.78325644857054,0.0,113.92569169772318,79.78925063459337,92.83536693335006,87.69995595194824,107.90997082083558,115.53739270234718,49.77183818545798,60.349251217448426,92.97357933497445,84.96426110543229,106.1039335987096,100.86464242056475
32,Will Warren,NYY,25.1,124.42353576167022,53.40933185775825,232.96215527717914,101.79093120588063,129.22999533888506,55.472527047713626,95.2712803514263,82.39180796044423,102.97212617390001,101.51205553605655,59.56075417135363,72.45422312378578,65.66481854503417,85.688903096913,121.85699197860306,83.77344293484647
33,Davis Martin,CHW,25.0,77.27637413253086,54.12145152858494,142.78325644857054,68.76542304105911,88.47420733570901,61.963992906537726,92.68292790718692,74.544962559156,89.34104727049697,120.56987442095743,51.02006252695539,81.88650386107453,97.41365514575196,116.8485045551962,82.43267111497559,110.42862941598062
34,Jesús Luzardo,PHI,22.2,141.0207216523408,55.03144686070925,256.2547845727961,117.78846095055711,138.77707422520317,54.155893644445484,127.92370011970806,112.29166795935505,146.53256380316185,57.74835138326072,196.84876660187086,68.7329920634051,46.618778715811324,153.44786416522692,115.09213185929677,55.71104761922528
35,Edward Cabrera,CHC,22.2,79.9117389074637,121.06917799971153,66.00502024933725,0.0,84.68959904491776,128.3078090350466,95.60012232160325,98.68055253968171,100.47947232216812,109.92100001198475,61.11442988436192,76.79235598804402,106.02432737884658,144.92298294016823,92.81623526644644,85.70930413176922
36,Rhett Lowder,CIN,23.0,69.48846954736368,75.92744334775561,91.51956588224792,38.6937928265228,72.34124101243079,79.04455979978692,92.7919450375715,87.190014608001,89.15784163798016,90.14376814811042,84.55966797399321,77.12585761489552,110.3938364918793,102.77218062265455,92.71310604095686,107.01758931138265
37,Steven Matz,TBR,21.1,100.09069989503352,63.423576955145414,157.81307295006494,80.5844813270435,108.14122935158632,68.52488623884987,87.05441001808649,76.87449378464885,88.28997612613819,96.9334039179106,89.12974018050399,79.85477124787839,87.53030409215734,155.66134114805084,71.61770588360372,102.94647180276526
38,Yoshinobu Yamamoto,LAD,25.2,87.17644215869934,29.15951857257238,298.96391533492874,104.02097378419475,100.21165576189124,33.51964757192026,84.04406357943142,63.10605847052185,78.73391487931084,124.5807132272823,53.27055481630681,82.99903877944806,86.34686958611003,77.72685919228931,98.16681829641563,113.31274178011034
39,Michael Soroka,ARI,22.2,131.61933467111666,66.03773345438809,199.30927686147976,78.52563732982729,136.48899349782067,68.48100118045558,91.04773554438404,81.66666417077107,104.20093426002619,114.54218460765631,69.32710586560763,75.88988118980052,75.01447382967005,134.53812737978566,87.88853686785767,96.61776090049491
40,Carmen Mlodzinski,PIT,14.1,111.50475872829966,104.43177086783723,106.7728269053317,0.0,106.25119779367502,99.51145489010523,124.53655781358277,123.76615359649159,139.03554891090707,114.49238372290678,62.0912359253741,55.84290692602275,82.14279521308977,135.2085831956775,112.41557064791348,67.9694713203488
41,Hunter Brown,HOU,10.2,162.0516165981357,126.84715958080083,127.75343999216564,0.0,173.04991878755902,135.45617033668893,57.35003362677996,76.87449722120672,86.71336940959999,127.14641308931014,20.096081732729175,40.32338456217811,58.48889909902307,104.38466407626758,120.0649775248727,76.5384639949489
42,Joe Boyle,TBR,15.2,103.84283619514262,86.36402190149296,120.23853174141843,54.86603124868864,106.11260604324366,88.25174691401993,77.80487895366481,80.88921797448712,80.6635994507907,53.79271314940368,121.36815995835968,72.90868258701532,94.07388402038083,83.03325546776527,98.2349815894295,110.16900099610942
43,Logan Webb,SFG,30.0,95.89408399919974,91.47448747843613,104.83150275648431,59.330479873916545,92.7283178272045,88.45462621516391,109.76310340628521,107.98147515255397,112.0732575901106,82.74390654027275,139.38485283003914,86.49102188524567,83.46148834566706,109.15554605927808,135.10815462121218,54.87258709453218
44,Aaron Nola,PHI,22.1,114.500400434807,67.02337034119219,170.83652304853072,119.54649099980823,116.99056611432542,68.48100118045558,112.32709136127075,100.15339522378896,117.22605104252948,106.18245267754007,99.89339836425889,85.19441632365815,73.86634295564893,109.06435501121004,109.61155410786657,84.34883890668911
45,Kyle Bradish,BAL,19.2,108.57296449007985,114.6640959284326,94.68784377003898,43.706838091591436,104.45459647806794,110.31468412790954,119.69981377486893,121.29350232250799,130.0700541144,82.2712084613265,131.94457884832894,77.36101077903277,91.08249697493684,85.4056339120859,122.24797709440402,83.49650610672747
46,Kris Bubic,KCR,22.2,116.63230169128941,99.48796515928458,117.23256847719112,75.8442187167765,127.87165168660222,109.0751933604568,75.2083985282836,78.92996257067924,81.61258297374118,92.36107359984086,91.28206165027096,80.10211953090236,91.54568708151689,68.9332683652491,86.0843234993378,129.97097652780388
47,Jacob deGrom,TEX,19.2,129.25352915485695,68.79845755705956,187.87270586287485,131.1205142747743,140.29310897244784,74.67455493174468,88.41463517461912,79.59886089914588,94.5964029922909,133.20100414884078,54.95524765007771,83.5090983805028,83.57768800786498,77.73326037127941,61.3097755325793,151.99127580120785
