rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Cam Schlittler,NYY,11.710843642610381,0.9759036368841985,12.0,0.0,0.34285714,0.02857143,0.31428571,0.17647058823529413,0.7590361620210432,0.2727272727272727,0.66666667,46.33788236174276,21.570782882479868,45.38482740849865,1.951807273768397,0.8662003441981012,1.0856069295702957,1.86299448604321,2.0707627922861924
2,José Soriano,LAA,10.274336456608333,3.1061947426955423,3.30769231,0.23893805713042635,0.30714286,0.09285714,0.21428572,0.14173228346456693,0.8230088634492463,0.20481927710843373,1.0,5.543713556897943,53.55486181915185,67.64400276030112,0.23893805713042635,2.240653947768509,-2.0017158906380828,2.8107193542039166,3.005428647108484
3,Bryan Woo,SEA,7.3125,1.6875,4.33333333,0.0,0.21138211,0.04878049,0.16260163,0.19130434782608696,0.875,0.24719101123595505,0.66666667,56.49512859551062,57.32905410725051,100.44742926959759,2.25,2.2683088302612306,-0.018308830261230646,4.2073848897591235,3.928735206857901
4,Max Fried,NYY,6.9677421498373135,2.1774194218241605,3.2,0.21774194218241605,0.20512821,0.06410256,0.14102564,0.1527777777777778,0.774193572204146,0.1891891891891892,0.70552147,56.863557695654855,65.70633937199119,91.66995305582044,2.3951613640065768,2.780405593290537,-0.3852442292839604,3.8336678784138636,3.919554814989895
5,Dylan Cease,TOR,15.4285718107489,4.909091030692832,3.14285714,0.0,0.3963964,0.12612613,0.27027027,0.19791666666666666,1.2857143175624084,0.36538461538461536,0.76470588,49.685835572823194,35.59520685756176,49.98700677422843,2.103896156011214,1.4679841134374865,0.6359120425737275,2.058940641446716,2.694123411787787
6,Cristopher Sánchez,PHI,12.388235433109905,2.5411764990994676,4.875,0.31764706238743345,0.31707317,0.06504065,0.25203252,0.2782608695652174,1.4117647217219265,0.41333333333333333,0.77720207,39.01985932319308,39.73501592606447,53.25982933990109,1.5882353119371673,1.696249990496256,-0.10801467855908875,2.2107666065267426,2.4911834200383987
7,Seth Lugo,KCR,8.042553517871351,2.872340542096911,2.8,0.0,0.24137931,0.0862069,0.15517241,0.1792452830188679,0.925531952453449,0.24358974358974358,0.82758621,26.18266255175261,56.13765366911774,85.94073995719728,1.1489362168387642,2.313521562544345,-1.1645853457055808,3.5897362123596874,3.807523973496493
8,Tarik Skubal,DET,9.791209201653835,1.7802198548461519,5.5,0.2967033091410253,0.27966102,0.05084746,0.22881356,0.2072072072072072,0.9560439961210815,0.2857142857142857,0.76923077,48.632068864057096,50.634979571888735,66.23642027754808,2.076923163987177,2.088363731093141,-0.011440567105963861,2.7507889703595567,2.9307952745671906
9,Taj Bradley,MIN,11.060241218020915,3.253012122947328,3.4,0.0,0.28813559,0.08474576,0.20338983,0.22641509433962265,1.2289156908912129,0.3333333333333333,0.86111111,37.894231116085706,48.29334660057204,84.57795624220192,1.626506061473664,1.9866822976577363,-0.36017623618407235,3.531713217517655,3.322206568629622
10,Shohei Ohtani,LAD,9.375,2.25,4.16666667,0.0,0.27173913,0.06521739,0.20652174,0.1411764705882353,0.75,0.2,0.89473684,9.410597938602939,45.07676004199783,76.41687339396783,0.375,1.9349754969278978,-1.5599754969278978,3.1415117117265865,3.1002091034747807
11,Kevin Gausman,TOR,11.117647183560171,1.9058823743246007,5.83333333,0.6352941247748669,0.30973451,0.05309735,0.25663717,0.19626168224299065,0.9529411871623004,0.2714285714285714,0.74380165,60.01269470217411,53.138396550873516,60.9260401635724,2.5411764990994676,2.2256617611419784,0.3155147379574892,2.5246898802603672,2.680625141654995
12,Braxton Ashcraft,PIT,9.707865376587458,2.7303371371652227,3.55555556,0.30337079301835806,0.27586207,0.07758621,0.19827586,0.19811320754716982,1.0112359767278603,0.273972602739726,0.67567568,59.46504490829889,59.09315618988944,80.32708251468111,2.4269663441468645,2.4354436465517284,-0.008477302404863885,3.298673739441109,3.2762998378785455
13,Parker Messick,CLE,8.510869741665172,2.3478261356317716,3.625,0.29347826695397145,0.25663717,0.07079646,0.18584071,0.18269230769230768,0.8804348008619143,0.24324324324324326,0.82706767,41.828583455540844,62.44206455743774,77.05893575985289,1.7608696017238286,2.5563522963532876,-0.7954826946294591,3.2115772473971416,3.3445109573021656
14,Nolan McLean,NYM,11.27472574735896,2.373626473128202,4.75,0.5934066182820505,0.33333333,0.07017544,0.2631579,0.14285714285714285,0.7582417900270646,0.2,0.66037736,68.95960037587541,57.95204808933031,62.28374783884848,2.670329782269228,2.385067040234166,0.28526274203506174,2.573462637721735,2.629815173525883
15,Joe Ryan,MIN,9.219512302346489,1.9756097790742477,4.66666667,0.3292682965123746,0.26168224,0.05607477,0.20560748,0.18181818181818182,0.8780487906996656,0.24285714285714285,0.56910569,76.71271090090427,59.133464280231486,90.61349818245647,3.292682965123746,2.4481868709573287,0.8444960941664172,3.7886873910529273,3.429625494287994
16,Keider Montero,DET,7.363636682841418,1.2272727804735695,6.0,0.0,0.21176471,0.03529412,0.17647059,0.2073170731707317,0.9090909484989405,0.265625,0.5,86.21139492766805,46.5909674589169,92.26562087188927,3.681818341420709,1.9160360497876612,1.7657822916330477,3.8590295188847756,3.7564329356135593
17,Nick Pivetta,SDP,13.5,3.375,4.0,0.0,0.36363636,0.09090909,0.27272727,0.2,1.125,0.3333333333333333,0.55555556,116.74156594571492,30.071661200097488,74.83951003023303,4.5,1.2683088302612306,3.2316911697387694,3.078113152459264,2.7048677871024682
18,Randy Vásquez,SDP,9.41860486005306,2.511627962680816,3.75,0.313953495335102,0.26315789,0.07017544,0.19298246,0.22115384615384615,1.081395372820907,0.3013698630136986,0.85443038,48.86856357273401,62.24587542044668,85.13033042496443,1.8837209720106118,2.5502855612949267,-0.6665645892843148,3.491729445131338,3.3779519895512236
19,Logan Gilbert,SEA,9.545454821310761,1.909090964262152,5.0,0.8181818418266367,0.25735294,0.05147059,0.20588235,0.27559055118110243,1.2727273095081013,0.3595505617977528,0.70351759,109.56631316979568,75.81507074139773,81.16302432853342,4.363636489742062,3.0220967055461734,1.3415397841958883,3.386316281355004,3.3056281485981405
20,Reid Detmers,LAA,9.732558679168095,2.511628046236928,3.875,0.627907011559232,0.25833333,0.06666667,0.19166667,0.21100917431192662,1.081395408796455,0.27631578947368424,0.64102564,94.69436661815904,72.05571020399813,90.10691640531252,4.081395575135008,3.0386576616680254,1.0427379134669823,3.7671187506891917,3.432362997665846
21,Tyler Glasnow,LAD,10.44,2.16,4.83333333,0.72,0.30526316,0.06315789,0.24210526,0.16853932584269662,0.84,0.22413793103448276,0.65934066,81.3075661895294,60.747989377828674,69.58827013170793,3.24,2.5833088302612306,0.6566911697387696,2.867051420211792,2.856892697109428
22,Landen Roupp,SFG,10.084337581136717,3.903614547536794,2.58333333,0.0,0.28181818,0.10909091,0.17272727,0.16666666666666666,1.0120482160280575,0.24615384615384617,0.7,58.254378611784006,60.69869806286543,80.79627756090086,2.2771084860631294,2.4204172473840466,-0.1433087613209172,3.317531975044645,3.518001435414377
