rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Cam Schlittler,NYY,0.2727272727272727,1.55,0.215384615,0.476923076,0.307692307,0.1,0.0,10.0,3.253012122947328,121.0,290.0,411.0,0.36363636,0.33333333,0.3030303,0.15151515,0.51515152,0.33333333
2,José Soriano,LAA,0.14925373134328357,1.904761904,0.089552238,0.597014925,0.313432835,0.047619047,0.047619047,26.0,7.16326544553923,177.0,306.0,483.0,0.54411765,0.26470588,0.19117647,0.20588235,0.45588235,0.33823529
3,Braxton Ashcraft,PIT,0.30357142857142855,1.526315789,0.127272727,0.527272727,0.345454545,0.210526315,0.0,15.0,5.955882519999182,121.0,220.0,341.0,0.26785714,0.41071429,0.32142857,0.14285714,0.55357143,0.30357143
4,Joe Ryan,MIN,0.24285714285714285,0.611111111,0.171428571,0.314285714,0.514285714,0.138888888,0.027777777,14.0,4.6097561511732446,158.0,290.0,448.0,0.42253521,0.33802817,0.23943662,0.21126761,0.47887324,0.30985915
5,Bryan Woo,SEA,0.2535211267605634,0.615384615,0.112676056,0.338028169,0.549295774,0.128205128,0.0,3.0,1.08,112.0,233.0,345.0,0.30985915,0.4084507,0.28169014,0.22535211,0.45070423,0.32394366
6,Seth Lugo,KCR,0.27692307692307694,1.285714285,0.25,0.421875,0.328125,0.142857142,0.0,6.0,2.2191781981574383,124.0,240.0,364.0,0.38461538,0.35384615,0.26153846,0.09230769,0.63076923,0.27692308
7,Jeffrey Springs,ATH,0.1746031746031746,1.16,0.142857142,0.46031746,0.396825396,0.2,0.0,15.0,5.472973114038754,140.0,229.0,369.0,0.3968254,0.38095238,0.22222222,0.26984127,0.50793651,0.22222222
8,Parker Messick,CLE,0.2,1.5,0.166666666,0.5,0.333333333,0.3,0.05,10.0,3.506493593352023,122.0,241.0,363.0,0.44262295,0.26229508,0.29508197,0.21311475,0.49180328,0.29508197
9,Taj Bradley,MIN,0.35185185185185186,0.863636363,0.24074074,0.351851851,0.407407407,0.09090909,0.0,16.0,6.646154041177428,149.0,253.0,402.0,0.46296296,0.35185185,0.18518519,0.05555556,0.51851852,0.42592593
10,Nick Pivetta,SDP,0.3333333333333333,0.571428571,0.083333333,0.333333333,0.583333333,0.238095238,0.0,4.0,2.25,99.0,184.0,283.0,0.38888889,0.25,0.36111111,0.27777778,0.52777778,0.19444444
11,Cristopher Sánchez,PHI,0.4107142857142857,2.615384615,0.175438596,0.596491228,0.228070175,0.0,0.076923076,18.0,7.253731446532797,125.0,247.0,372.0,0.38596491,0.38596491,0.22807018,0.21052632,0.40350877,0.38596491
12,Max Fried,NYY,0.1935483870967742,1.2,0.17204301,0.451612903,0.376344086,0.057142857,0.028571428,22.0,5.9400002265930265,171.0,295.0,466.0,0.32978723,0.41489362,0.25531915,0.19148936,0.5106383,0.29787234
13,Kevin Gausman,TOR,0.24,1.210526315,0.176470588,0.450980392,0.372549019,0.157894736,0.105263157,5.0,2.014925401814666,111.0,242.0,353.0,0.46153846,0.32692308,0.21153846,0.21153846,0.42307692,0.36538462
14,Tyler Glasnow,LAD,0.22413793103448276,1.083333333,0.166666666,0.433333333,0.4,0.125,0.083333333,23.0,8.28,139.0,244.0,383.0,0.45,0.26666667,0.28333333,0.13333333,0.48333333,0.38333333
15,Dylan Cease,TOR,0.3181818181818182,2.0,0.232558139,0.511627906,0.255813953,0.181818181,0.0,4.0,1.7419355374593284,153.0,232.0,385.0,0.47727273,0.31818182,0.20454545,0.20454545,0.52272727,0.27272727
16,Reid Detmers,LAA,0.288135593220339,0.88,0.20338983,0.372881355,0.423728813,0.12,0.04,15.0,5.955882770586208,129.0,262.0,391.0,0.36666667,0.41666667,0.21666667,0.18333333,0.58333333,0.23333333
17,Shota Imanaga,CHC,0.22727272727272727,0.416666666,0.260869565,0.217391304,0.52173913,0.083333333,0.083333333,15.0,6.136363636363637,125.0,247.0,372.0,0.45652174,0.2826087,0.26086957,0.10869565,0.5,0.39130435
18,Keider Montero,DET,0.2608695652173913,0.695652173,0.152173913,0.347826086,0.5,0.173913043,0.0,10.0,5.5102041888763305,76.0,150.0,226.0,0.45652174,0.2826087,0.26086957,0.17391304,0.45652174,0.36956522
19,Tarik Skubal,DET,0.2727272727272727,1.285714285,0.272727272,0.409090909,0.318181818,0.047619047,0.047619047,15.0,5.547945495393596,117.0,236.0,353.0,0.34328358,0.44776119,0.20895522,0.13432836,0.52238806,0.34328358
20,Logan Gilbert,SEA,0.35135135135135137,0.735294117,0.22368421,0.328947368,0.447368421,0.147058823,0.088235294,10.0,3.1034483779199658,160.0,301.0,461.0,0.49350649,0.31168831,0.19480519,0.14285714,0.53246753,0.32467532
21,Nolan McLean,NYM,0.17647058823529413,1.470588235,0.192307692,0.48076923,0.326923076,0.176470588,0.058823529,9.0,3.4225353032108172,137.0,235.0,372.0,0.32692308,0.40384615,0.26923077,0.28846154,0.5,0.21153846
22,Landen Roupp,SFG,0.2631578947368421,1.933333333,0.228070175,0.508771929,0.263157894,0.066666666,0.0,12.0,4.764706015999345,143.0,220.0,363.0,0.43859649,0.28070175,0.28070175,0.15789474,0.63157895,0.21052632
23,Shohei Ohtani,LAD,0.1590909090909091,1.294117647,0.113636363,0.5,0.386363636,0.294117647,0.0,8.0,4.0,101.0,177.0,278.0,0.43181818,0.36363636,0.20454545,0.27272727,0.34090909,0.38636364
24,Emerson Hancock,SEA,0.22641509433962265,1.04347826,0.145454545,0.436363636,0.418181818,0.217391304,0.086956521,18.0,6.8450706064216345,121.0,244.0,365.0,0.50909091,0.21818182,0.27272727,0.16363636,0.47272727,0.36363636
25,Trevor Rogers,BAL,0.32857142857142857,1.068965517,0.154929577,0.436619718,0.408450704,0.137931034,0.034482758,13.0,4.9436621046378475,134.0,245.0,379.0,0.42253521,0.3943662,0.18309859,0.16901408,0.56338028,0.26760563
26,Randy Vásquez,SDP,0.34545454545454546,1.136363636,0.160714285,0.446428571,0.392857142,0.09090909,0.045454545,6.0,2.4923077654415353,127.0,224.0,351.0,0.46428571,0.375,0.16071429,0.10714286,0.41071429,0.48214286
27,Bryce Elder,ATL,0.2711864406779661,1.333333333,0.169491525,0.474576271,0.355932203,0.047619047,0.047619047,7.0,2.700000147138331,118.0,209.0,327.0,0.36666667,0.38333333,0.25,0.1,0.65,0.25
28,Framber Valdez,DET,0.27710843373493976,2.35,0.192771084,0.56626506,0.240963855,0.15,0.0,7.0,2.625,110.0,238.0,348.0,0.54216867,0.24096386,0.21686747,0.18072289,0.4939759,0.3253012
29,Michael Wacha,KCR,0.171875,0.766666666,0.171875,0.359375,0.46875,0.133333333,0.066666666,8.0,2.6666666666666665,128.0,239.0,367.0,0.34848485,0.39393939,0.25757576,0.16666667,0.45454545,0.37878788
30,Mick Abel,MIN,0.3111111111111111,1.117647058,0.162790697,0.441860465,0.395348837,0.176470588,0.0,8.0,4.235294117647059,89.0,187.0,276.0,0.42222222,0.28888889,0.28888889,0.15555556,0.55555556,0.28888889
31,Casey Mize,DET,0.3050847457627119,0.724137931,0.180327868,0.344262295,0.475409836,0.137931034,0.068965517,13.0,5.1617650678413804,127.0,224.0,351.0,0.39344262,0.40983607,0.19672131,0.16393443,0.52459016,0.31147541
