rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Cam Schlittler,NYY,2.0,1.0,0.0,5.0,5.0,27.2,11.710843642610381,0.9759036368841985,0.0,0.2727272727272727,0.66666667,0.476923076,0.0,97.7073661990282,1.951807273768397,2.2712613781760154,0.8641861840418512,1.8562383902921729,1.5224628637035025
2,Bryan Woo,SEA,1.0,2.0,0.0,5.0,5.0,32.0,7.3125,1.6875,0.0,0.24719101123595505,0.66666667,0.348314606,0.0,95.80081898082386,2.25,2.472278104064457,2.2662946701049806,4.19614618322812,1.2150963675475788
3,Dylan Cease,TOR,1.0,0.0,0.0,5.0,5.0,25.2,15.4285718107489,4.909091030692832,0.0,0.36538461538461536,0.76470588,0.549019607,0.0,97.93849062295484,2.103896156011214,2.682304419225139,1.4659699532812365,2.054115190897094,1.169660781397425
4,José Soriano,LAA,5.0,0.0,0.0,5.0,5.0,32.2,10.744898168308845,3.581632722769615,0.27551020944381654,0.14925373134328357,1.0,0.582089552,0.047619047,98.00402088994565,0.27551020944381654,2.7338308661050643,2.3453762872672885,2.829634947589398,1.1386143173935634
5,Cristopher Sánchez,PHI,2.0,2.0,0.0,5.0,5.0,28.1,12.388235433109905,2.5411764990994676,0.31764706238743345,0.41333333333333333,0.77720207,0.592105263,0.05,,1.5882353119371673,2.7627066042332196,1.694235830340006,2.204122085785332,1.1296243936236765
6,Seth Lugo,KCR,1.0,1.0,0.0,5.0,5.0,31.1,8.042553517871351,2.872340542096911,0.0,0.24358974358974358,0.82758621,0.402597402,0.0,92.11217452819089,1.1489362168387642,3.9247049384754495,2.311507402388095,3.581650861151546,1.1182636652675368
7,Tarik Skubal,DET,3.0,2.0,0.0,5.0,5.0,30.1,9.791209201653835,1.7802198548461519,0.2967033091410253,0.2857142857142857,0.76923077,0.428571428,0.041666666,97.34928000184911,2.076923163987177,3.364245552824774,2.086349570936891,2.743584735541923,1.0977059326692342
8,Taj Bradley,MIN,3.0,0.0,0.0,5.0,5.0,27.2,11.060241218020915,3.253012122947328,0.0,0.3333333333333333,0.86111111,0.347222222,0.0,96.91126001181723,1.626506061473664,3.276715161580024,1.9846681375014863,3.5223490571894853,1.093519154043856
9,Kevin Gausman,TOR,1.0,1.0,0.0,5.0,5.0,28.1,11.117647183560171,1.9058823743246007,0.6352941247748669,0.2714285714285714,0.74380165,0.436619718,0.08,93.82269916619956,2.5411764990994676,3.1278634333129887,2.2236476009857284,2.5168877693726666,1.052280444444751
10,Parker Messick,CLE,3.0,0.0,0.0,5.0,5.0,30.2,8.510869741665172,2.3478261356317716,0.29347826695397145,0.24324324324324326,0.82706767,0.486486486,0.041666666,93.6795751599298,1.7608696017238286,2.70114634195384,2.5543381361970376,3.2044294265432933,1.0304292864188316
11,Nolan McLean,NYM,1.0,1.0,0.0,5.0,5.0,30.1,11.27472574735896,2.373626473128202,0.5934066182820505,0.2,0.66037736,0.447761194,0.086956521,96.91196073644302,2.670329782269228,2.0368227732519495,2.383052880077916,2.566474656014992,1.0136658125840576
12,Braxton Ashcraft,PIT,1.0,1.0,0.0,4.0,4.0,22.2,10.720588535998528,2.779411842666285,0.0,0.30357142857142855,0.64,0.527272727,0.0,96.92803213529497,2.3823530079996726,1.9970723692718666,1.8177652212162736,2.968108116206904,0.9797186854184543
