rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Cam Schlittler,NYY,27.2,66.0,87.19384577824519,102.6,115.1,9.892307692307693,4.0,0.06060606,27.0,0.40909091,1.951807273768397,2.2712613781760154
2,Bryan Woo,SEA,32.0,89.0,88.03820114992978,105.0,110.4,21.51685393258427,5.0,0.05617978,39.0,0.43820225,2.25,2.472278104064457
3,Dylan Cease,TOR,25.2,52.0,86.5411771886489,105.9,108.2,8.294117647058824,0.0,0.0,17.0,0.32692308,2.103896156011214,2.682304419225139
4,José Soriano,LAA,32.2,68.0,86.99242424242425,102.1,104.9,3.9242424242424243,7.0,0.10294118,21.0,0.30882353,0.27551020944381654,2.7338308661050643
5,Cristopher Sánchez,PHI,28.1,76.0,89.35526315789474,107.6,111.7,1.2763157894736843,8.0,0.10526316,33.0,0.43421053,1.5882353119371673,2.7627066042332196
6,Seth Lugo,KCR,31.1,78.0,90.38571365158279,105.6,109.7,16.98701298701299,7.0,0.08974359,31.0,0.3974359,1.1489362168387642,3.9247049384754495
7,Tarik Skubal,DET,30.1,78.0,88.86883148589692,105.5,109.5,10.2987012987013,5.0,0.06410256,32.0,0.41025641,2.076923163987177,3.364245552824774
8,Taj Bradley,MIN,27.2,72.0,93.64444308810764,107.6,110.6,18.88888888888889,3.0,0.04166667,33.0,0.45833333,1.626506061473664,3.276715161580024
9,Kevin Gausman,TOR,28.1,72.0,87.08873136278609,106.4,112.3,11.591549295774648,7.0,0.09722222,28.0,0.38888889,2.5411764990994676,3.1278634333129887
10,Parker Messick,CLE,30.2,75.0,86.7959462758657,102.9,109.2,13.54054054054054,2.0,0.02666667,22.0,0.29333333,1.7608696017238286,2.70114634195384
11,Nolan McLean,NYM,30.1,67.0,85.82537386310635,105.0,110.3,10.447761194029852,3.0,0.04477612,20.0,0.29850746,2.670329782269228,2.0368227732519495
12,Braxton Ashcraft,PIT,22.2,56.0,89.81111088505497,105.3,110.1,12.75925925925926,2.0,0.03571429,19.0,0.33928571,2.3823530079996726,1.9970723692718666
13,Joe Ryan,MIN,27.1,71.0,87.93000052315848,104.6,112.2,22.114285714285714,8.0,0.11267606,25.0,0.35211268,3.292682965123746,2.656461554696593
14,Keider Montero,DET,22.0,64.0,90.10476151723711,105.0,110.7,20.206349206349206,1.0,0.015625,26.0,0.40625,3.681818341420709,1.8922018485401042
