rank,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
1,Zack Wheeler,2 Tms,0.34593091,0.70634762,0.50294413,0.64879357,0.8355776,0.76307345,0.43564356,0.63709265,0.11913483,0.15332287,
2,Jacob deGrom,2 Tms,0.37363684,0.71693273,0.51995626,0.54378011,0.79304175,0.69026755,0.42621955,0.64667941,0.16097887,0.15308477,
3,Max Scherzer,5 Tms,0.351016,0.71082497,0.51355615,0.55584016,0.79966227,0.70829334,0.45174012,0.66411464,0.14975607,0.15906963,
4,Aaron Nola,PHI,0.34632218,0.64449144,0.47256594,0.61618426,0.84785203,0.74995693,0.42339629,0.65961144,0.11810895,0.19065056,
5,Gerrit Cole,3 Tms,0.33196523,0.68499333,0.48717024,0.57527273,0.81790955,0.7252615,0.43963923,0.64599672,0.13377806,0.17299198,
6,Kevin Gausman,5 Tms,0.34812412,0.71539903,0.505189,0.60067754,0.83907887,0.74505219,0.42764934,0.63458052,0.12896042,0.15673586,
7,Chris Sale,2 Tms,0.36032298,0.64140845,0.48492227,0.57547463,0.7997365,0.70696537,0.44327902,0.66908818,0.14204581,0.18523373,
8,Justin Verlander,4 Tms,0.34275106,0.70324245,0.50375827,0.63725231,0.83024888,0.7575848,0.44663259,0.62656187,0.12210031,0.16468761,
9,Sonny Gray,6 Tms,0.3108871,0.64762351,0.44823799,0.56083009,0.87744035,0.74741664,0.40788845,0.60392229,0.11310944,0.18218681,
10,Luis Castillo,2 Tms,0.33724233,0.71993494,0.49698718,0.59330454,0.82024852,0.73053279,0.41742341,0.614509,0.13390471,0.1471,
11,Clayton Kershaw,LAD,0.33266622,0.7023761,0.49911364,0.54545455,0.85153683,0.73937538,0.45021089,0.67425287,0.13003361,0.16712496,
12,Logan Webb,SFG,0.334615,0.64100719,0.46111804,0.6386453,0.89180696,0.78394744,0.41287946,0.66282486,0.09960207,0.19368058,
13,Max Fried,2 Tms,0.32495223,0.67529345,0.47055366,0.61652739,0.8617801,0.7628029,0.41559892,0.61840018,0.11156151,0.16766537,
14,Blake Snell,4 Tms,0.32797346,0.66773535,0.45321229,0.51050584,0.81514622,0.67595117,0.36860765,0.60569476,0.14683136,0.15714286,
15,Charlie Morton,5 Tms,0.31170532,0.64762397,0.45522355,0.55203956,0.8529271,0.73492341,0.42724103,0.6048289,0.12055737,0.18004233,
16,Shane Bieber,2 Tms,0.34003563,0.66352145,0.47487941,0.5007485,0.86450228,0.71261135,0.41684601,0.64954853,0.13644458,0.18311322,
17,Dylan Cease,3 Tms,0.32898218,0.69095797,0.46797066,0.54664879,0.81015769,0.69604087,0.38397175,0.59048486,0.14222077,0.15004346,
18,Corbin Burnes,3 Tms,0.35231561,0.66679118,0.47173558,0.53813697,0.84705882,0.70395429,0.37974324,0.60863471,0.13961568,0.16677303,
19,José Berríos,2 Tms,0.33294664,0.65762441,0.46962509,0.66289199,0.87048832,0.7852673,0.42096646,0.64041204,0.10081847,0.18027282,
20,Framber Valdez,2 Tms,0.30626321,0.64463768,0.45320662,0.55067199,0.88781475,0.75892237,0.4342627,0.59337626,0.10904523,0.17682161,
21,Yu Darvish,4 Tms,0.31516588,0.66339792,0.4773803,0.58810069,0.8349065,0.74786719,0.46582278,0.61789496,0.12031027,0.1785675,
22,Tarik Skubal,DET,0.34927715,0.70252489,0.51311232,0.58300308,0.81599595,0.73095468,0.4637968,0.66806182,0.13799357,0.1624763,
23,Lance Lynn,6 Tms,0.30907751,0.73465092,0.48430277,0.66525424,0.82505571,0.76506264,0.41173921,0.60256909,0.11375343,0.14220382,
24,Patrick Corbin,4 Tms,0.34073424,0.6701505,0.46998278,0.59180036,0.88006862,0.75307565,0.39235627,0.64974383,0.11603116,0.15879459,
25,Zack Greinke,3 Tms,0.33434766,0.64238988,0.45616556,0.67320819,0.87236931,0.78412098,0.39545847,0.65366821,0.09845959,0.1851937,
26,Sandy Alcantara,MIA,0.35223977,0.71266721,0.51097084,0.63799939,0.85941391,0.774,0.44039675,0.62883163,0.1154239,0.15327765,
27,Pablo López,2 Tms,0.35436347,0.69735049,0.50054849,0.62900666,0.8341294,0.75080572,0.42621152,0.63704631,0.12470163,0.15463518,
28,Carlos Rodón,3 Tms,0.32497679,0.69753266,0.47976844,0.58222222,0.83187682,0.73303167,0.41548574,0.59476155,0.12800579,0.15464352,
29,Kyle Hendricks,2 Tms,0.34118054,0.63508688,0.46492283,0.71613394,0.86750375,0.80319034,0.42102626,0.6603139,0.09146006,0.19418983,
30,Nathan Eovaldi,3 Tms,0.33599905,0.71918107,0.50887651,0.60923623,0.84373107,0.75875386,0.45116279,0.6440806,0.1227243,0.15992141,
