rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,Zack Wheeler,2 Tms,0.28739316239316237,1.322828593,0.211789254,0.448878455,0.33933229,0.115295926,0.10914681,781.0,4.8711018453475,7813.0,15119.0,22932.0,0.38465499,0.34809475,0.26725026,0.21035015,0.51390319,0.27574665
2,Jacob deGrom,2 Tms,0.2725050916496945,1.16416309,0.203711014,0.428345834,0.36794315,0.123390557,0.119098712,562.0,4.683333366417591,5340.0,11216.0,16556.0,0.37724084,0.3390491,0.28371005,0.20381917,0.49220577,0.30397506
3,Max Scherzer,5 Tms,0.27612946729602156,0.725639253,0.192954104,0.339366515,0.467679379,0.122322045,0.115411195,758.0,5.317225379788653,6598.0,13769.0,20367.0,0.40517241,0.32886335,0.26596424,0.19667944,0.49233716,0.3109834
4,Aaron Nola,PHI,0.2914775592536561,1.345441595,0.201115963,0.458272683,0.340611353,0.094017094,0.141737891,893.0,5.1873925332849184,8193.0,16386.0,24579.0,0.44764649,0.33261287,0.21974063,0.18007203,0.5032413,0.31668667
5,Gerrit Cole,3 Tms,0.27965043695380776,1.031555221,0.193558007,0.409484044,0.396957948,0.102930127,0.135987978,864.0,5.65664404538234,7509.0,14677.0,22186.0,0.37392847,0.35707952,0.26899202,0.18297369,0.49660065,0.32042566
6,Kevin Gausman,5 Tms,0.30594539423322276,1.087442472,0.21469206,0.409102151,0.376205787,0.088099934,0.113083497,774.0,4.787628865979381,7991.0,15807.0,23798.0,0.37037944,0.3498164,0.27980416,0.1623011,0.48959608,0.34810282
7,Chris Sale,2 Tms,0.30274822695035464,1.107832009,0.205051369,0.417808219,0.37714041,0.097616345,0.119182746,597.0,5.387366368544439,5286.0,10838.0,16124.0,0.40406607,0.33248623,0.26344769,0.18932656,0.52562474,0.28504871
8,Justin Verlander,4 Tms,0.26595744680851063,0.735531628,0.202288895,0.33807609,0.459635013,0.141318977,0.104306864,668.0,4.878550188402889,6585.0,13374.0,19959.0,0.40233415,0.34766585,0.25,0.18212531,0.48925061,0.32862408
9,Sonny Gray,6 Tms,0.2910729863332364,1.509892086,0.209796149,0.475368063,0.314835787,0.092625899,0.12589928,722.0,4.948971906529305,7695.0,13267.0,20962.0,0.42809177,0.34499161,0.22691662,0.17179631,0.50559597,0.32260772
10,Luis Castillo,2 Tms,0.2848305540613233,1.393869731,0.186458333,0.473697916,0.33984375,0.104980842,0.134099616,714.0,4.496850884695155,8365.0,15302.0,23667.0,0.4028777,0.3512333,0.245889,0.17189106,0.49486125,0.33324769
