rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
1,Zack Wheeler,2 Tms,1443.0,3886.0,86.3915208018837,103.4,118.6,11.250852794542116,235.0,0.06047349,1262.0,0.32475553,3.2370062198916165,3.2019079703156725
2,Jacob deGrom,2 Tms,1076.0,2554.0,87.53015493592311,103.8,113.6,13.126952342811373,168.0,0.06577917,838.0,0.32811276,2.500929385762618,2.673809921584721
3,Max Scherzer,5 Tms,1277.0,3113.0,87.62134362761097,103.7,113.3,19.297650130548302,244.0,0.07838098,1063.0,0.34147125,3.0375881674259704,3.0430849260210797
4,Aaron Nola,PHI,1549.1,4165.0,88.19708546973676,104.0,120.5,11.283147158814959,281.0,0.06746699,1505.0,0.36134454,3.7758176334100755,3.4400069299580736
5,Gerrit Cole,3 Tms,1374.2,3385.0,88.55599944464232,104.5,115.2,13.810194902548727,264.0,0.07799114,1295.0,0.38257016,3.1556741086507962,3.281827303210899
6,Kevin Gausman,5 Tms,1455.0,4091.0,88.97055574964506,104.9,119.4,13.169108517506828,342.0,0.08359814,1619.0,0.39574676,3.754639175257732,4.135718593702934
7,Chris Sale,2 Tms,990.1,2343.0,86.90782177396756,103.9,116.7,12.40475161987041,159.0,0.06786172,753.0,0.32138284,3.035341668939997,2.9267750844349725
8,Justin Verlander,4 Tms,1232.1,3257.0,88.32787525177002,103.9,118.8,18.684161199625116,236.0,0.07245932,1153.0,0.35400675,3.067351914864092,3.289372673700296
9,Sonny Gray,6 Tms,1313.0,3579.0,88.38943768064873,104.7,115.8,9.320102798400914,253.0,0.07069014,1343.0,0.37524448,3.6808835371277517,3.8003926128984067
10,Luis Castillo,2 Tms,1423.2,3873.0,88.7166276272897,104.9,115.2,10.410944488292555,286.0,0.07384456,1515.0,0.39116964,3.584406413364613,3.6854586503658866
11,Clayton Kershaw,LAD,1093.1,2964.0,87.99267237384421,104.5,115.9,10.784019539427774,181.0,0.06106613,1030.0,0.34750337,2.807012252252526,3.310660956158442
12,Logan Webb,SFG,1079.2,3119.0,89.55102531117801,105.4,120.4,2.947676308092298,206.0,0.06604681,1316.0,0.42193011,3.426057469516237,3.850432201317136
13,Max Fried,2 Tms,1082.2,3036.0,86.93991086814896,104.0,122.2,5.662411823983876,149.0,0.04907773,1059.0,0.34881423,3.000923736957514,3.3801776824788448
14,Blake Snell,4 Tms,1069.0,2567.0,87.73424595424108,103.8,117.9,12.310591035303451,179.0,0.0697312,878.0,0.3420335,3.115060860070225,3.5162594979606885
15,Charlie Morton,5 Tms,1358.1,3570.0,88.26579653252399,104.3,115.8,9.426099290780142,249.0,0.0697479,1291.0,0.36162465,3.8628220759453704,3.9045103016560474
16,Shane Bieber,2 Tms,876.2,2341.0,90.41665918180585,104.6,116.3,10.504555314533622,188.0,0.08030756,1011.0,0.43186672,3.1927756607682616,3.82340884670445
17,Dylan Cease,3 Tms,1036.0,2652.0,88.73196022388683,104.2,116.8,15.383149065955013,205.0,0.07730015,997.0,0.37594268,3.8397684175304514,3.6578915361001663
18,Corbin Burnes,3 Tms,886.0,2269.0,87.0469034921353,104.2,117.5,9.651380231522706,136.0,0.0599383,761.0,0.33539004,3.0067720996495226,3.106560783660462
19,José Berríos,2 Tms,1510.0,4353.0,88.41020332977416,104.5,118.1,13.663000234027615,345.0,0.07925569,1624.0,0.37307604,3.9218543640822006,4.363136165775755
20,Framber Valdez,2 Tms,1050.2,2911.0,90.43849957051701,105.5,119.6,-0.2732659463227605,183.0,0.06286499,1280.0,0.43971144,3.3750001000722682,3.7262311380528055
21,Yu Darvish,4 Tms,1132.1,2990.0,88.08380901805414,103.9,115.5,14.738038683406854,229.0,0.07658863,1065.0,0.35618729,3.8548721319759545,3.613310685815602
22,Tarik Skubal,DET,780.1,2007.0,88.31433579946996,104.9,115.7,12.369828456104944,165.0,0.08221226,763.0,0.38016941,3.0448527213535392,3.2854137308339086
23,Lance Lynn,6 Tms,1207.2,3431.0,87.96107314176602,104.1,117.6,14.105482717520859,236.0,0.06878461,1217.0,0.35470708,4.0019321088965825,3.9281653954087306
24,Patrick Corbin,4 Tms,1492.0,4553.0,89.72722795540263,105.5,116.3,10.192789968652038,386.0,0.08477927,1869.0,0.41049857,4.65080443223655,4.927773872298632
25,Zack Greinke,3 Tms,1122.1,3363.0,88.11279017689212,103.8,117.1,11.065021071643589,233.0,0.06928338,1181.0,0.35117455,3.6085535267862237,4.049895246991646
26,Sandy Alcantara,MIA,1097.1,3184.0,88.39837881309619,104.6,117.9,7.90371782650143,206.0,0.06469849,1245.0,0.39101759,3.6169502870410875,3.8638083843388644
27,Pablo López,2 Tms,965.0,2697.0,87.46632907595973,104.0,117.3,11.338202247191012,198.0,0.07341491,945.0,0.35038932,3.8145078172575935,3.6203116165434768
28,Carlos Rodón,3 Tms,975.2,2544.0,89.27724683180439,104.8,115.5,16.84884645982498,201.0,0.07900943,989.0,0.38875786,3.6805603462186958,3.5678388707910176
29,Kyle Hendricks,2 Tms,1280.1,4019.0,86.13846943502914,103.5,119.0,12.380481622306718,271.0,0.06742971,1307.0,0.32520527,4.0981515393212264,4.149788946278993
30,Nathan Eovaldi,3 Tms,968.0,2752.0,89.07554085710842,104.7,118.4,10.074468085106384,214.0,0.07776163,1115.0,0.40515988,3.6539257566290244,3.779587444556713
